Commit SHA,Commit message
da82939e5a31dea21a4f4d5085dfcd449fcbed3a,'Fixed #28912 -- Made EmailMessage.message() omit an empty To header.'
b03d5002955256c4b3ed7cfae5150eb79c0eb97e,'Fixed #28971 -- Made EmailMessage.message() set Cc from headers dict if it exists.'
ae6fa914aa2f43d39ae491ac7d3140dda69702fa,'Fixed #28926 -- Fixed loss of precision of big DurationField values on SQLite and MySQL.'
aefe624c62639c189845803f0935fc29e20b5fb8,'Fixed #28841 -- Added ForcePolygonCW GIS function and deprecated ForceRHR.'
44908d4d9360f72b9511aa0a878458285ba326d4,'Fixed #28967 -- Prevented Cast to FloatField from rounding to integer on MySQL.'
f1aa58479cdc6051dd2e97feca2d584c43aee1e7,'Fixed #28714 -- Added system checks for invalid model field names in Meta.indexes.\n\nThanks Gabriel for the report and Adam Johnson for the review.'
c8152137400b5932578cd1788b79560c9772e56b,"""Fixed #28958 -- Fixed admin changelist crash when using a query expression in the page's ordering.\n\nThanks Tim Graham for the review."""
038ea4f8593618cf0f408f15f756f2145de0d40e,"""Fixed #28966 -- Doc'd that the uuid URL path converter requires dashes"""
4c599ece57fa009cf3615f09497f81bfa6a585a7,'Fixed #28930 -- Simplified code with any() and all().'
c21f158295d92e35caf96436bfdbbff554fc5569,'Fixed #28944 -- Fixed crash when chaining values()/values_list() after QuerySet.select_for_update(of=()).'
5778b5701d6a0feb3053b70891cd8ce80b6e8601,'Fixed #28731 -- Added an error message when using an empty Q() in a When expression.\n\nOtherwise it generates invalid SQL.'
27557a7a99ab1ad032c699dc01e114a5e6504b0a,'Fixed #28857 -- Fixed invalid SQL when using Cast with complex expressions on PostgreSQL.'
196c257a230bba8f2f1b2021c383eb2744e8df41,'Fixed typo in docs/topics/i18n/translation.txt.'
4fcd28d442c2fec56f544f99cb658f33f847824c,"""Fixed #28881 -- Doc'd that CommonPasswordValidator's password list must be lowercase."""
02365d3f38a64a5c2f3e932f23925a381d5bb151,'Fixed #28542 -- Fixed deletion of primary key constraint if the new field is unique.'
56e590cc0be4d8c8b6fe0967583a6e02d18ee03e,"""Fixed #28761 -- Documented how an inline formset's prefix works."""
9a621edf624a4eb1f1645fca628a9e432f0de776,'Fixed #29016 -- Fixed incorrect foreign key nullification on related instance deletion.'
52aa26e6979ba81b00f1593d5ee8c5c73aaa6391,"""Fixed #28231 -- Doc'd that QuerySet.bulk_create() casts objs to a list."""
1b753b2d60230974e7d537ddacbcc1ad23348e7c,"'Fixed #28885 -- Fixed hidden content at the bottom of the ""The install worked successfully!"" page for some languages.'"
385e6fb352f3cb80d2f72838e08372cb392aaa45,"""Removed Query.split_exclude()'s unused prefix argument.\n\nUnused since b4492a8ca4a7ae4daa3a6b03c3d7a845fad74931."""
b9cec9fa1fc50207ab68a59853c851a945c5db5e,'Fixed #29017 -- Updated BaseCommand.leave_locale_alone doc per refs #24073.'
a38ae914d89809aed6d79337b74a8b31b6d3849a,'Fixed #28996 -- Simplified some boolean constructs and removed trivial continue statements.'
1f0813ca7e8a15d10fcdaad1a5d66b7eec28dedb,'Fixed string format specifier for fillfactor in GistIndex.'
1e81a4b897b6b4343fcae58e9dc1349cc95fade5,'Fixed #28638 -- Made allowed_hosts a required argument of is_safe_url().'
7c00f9fb1cc47e1c993f7728e2b592a1be29dd40,"""Fixed #29002 -- Corrected cached template loader docs about when it's automatically enabled.\n\nThanks oTree-org for the suggestion."""
f636f0bb86a5ff3a61401f5ec7ea5d3392edd30f,"'Fixed #29007 -- Fixed DecimalValidator crash on NaN, SNan, Inf, and Infinity values.'"
c886f3dee33adc9f94332b4133a37960e985e273,'Fixed #29006 -- Fixed DecimalField.clean() crash on sNaN values.'
5bf62825b591372739a082be7bfc9c59e54bbc1f,'Fixed #28828 -- Improved performance of HttpRequest.build_absolute_uri().'
66d74676e23c32bc676fb0706af8580b391953b6,'Fixed a GeoIP2 test failure with the latest GeoIP2 database.'
d95f1e711b9d1b3e60f7728e9710b8f542cec385,'Allowed indexes in contrib.postgres to have suffixes of any length.'
09530e61a0035192ca8bcdebc5ead13d14c16eb0,'Fixed #28869 -- Made tagged test classes and methods inherit tags from parents.'
47a99d701277f6ec98e6fd220feb9c8a1e66718e,'Fixed #28989 -- Fixed HttpResponse.delete_cookie() for cookies that use __Secure/Host prefixes.'
762bd34c3699875d315d478b3efb090155beb743,'Fixed #28842 -- Added SpatiaLite support for ForcePolygonCW function.'
8f8a93a9ae49fa807348f9f456b6635c8ebc5d0c,"'Fixed #28859 -- Made Oracle backend raise DatabaseError if ""no data found"" exception is hidden by the Oracle OCI library.\n\nThanks Tim Graham for the review and Jani Tiainen for the report.'"
777f216d555496798a1e65fd899b0f8a0349aeca,"'Fixed #15522 -- Added ModelAdmin.delete_queryset() to customize ""delete selected objects"" deletion.'"
ec2ce4517ac89f6c6334fe5322d1fc2007dfcbd4,'Fixed #28882 -- Fixed cleaning of disabled MultiValueFields.\n\nThanks avalanchy for the initial patch.'
3333d935d2914cd80cf31f4803821ad5c0e2a51d,"'Fixed #28757 -- Allowed using contrib.auth forms without installing contrib.auth.\n\nAlso fixed #28608 -- Allowed UserCreationForm and UserChangeForm to\nwork with custom user models.\n\nThanks Sagar Chalise and R\xc3\xb4mulo Collopy for reports, and Tim Graham\nand Tim Martin for reviews.'"
d1286a8a689e31435c07534fee7b61f41cea37f8,"""Fixed #28517 -- Fixed admin delete confirmation view crash when related models don't have a delete permission."""
d7b2aa24f75434c2ce50100cfef3586071e0747a,'Fixed #28982 -- Simplified code with and/or.'
602481d0c9edb79692955e073fa481c322f1df47,'Fixed #28986 -- Prevented boolean values in admin list display from being formatted with thousand separators.'
acc8dd4142ec81def9a73507120c0262ba6b1264,'Fixed #28984 -- Made assorted code simplifications.'
d79cf1e9e2887aa12567c8f27e384195253cb847,'Fixed #28985 -- Removed unneeded None checks before hasattr().'
cc6bcc6ff5cab320c5e5ae2760549a6c732067d8,'Fixed #28867 -- Added system check for a model property that clashes with a related field accessor.'
fbf647287ebd9898bff69c65a89fa09a903adaa5,'Fixed #28811 -- Fixed crash when combining regular and group by annotations.'
2cb6b7732dc7b172797cebb1e8f19be2de89e264,'Fixed #28902 -- Fixed password_validators_help_text_html() double escaping.'
0afffae4ecb660f2ecb94a756c2ab7729654ecf6,"""Fixed #28965 -- Updated Set-Cookie's Expires date format to follow RFC 7231."""
f5a989e60394ac11f5dce886468a34533caefcbf,'Fixed #28974 -- Made refresh_from_db() hint routers about its instance.'
248fa208cb2c7607fb7a464238fb8ebe62e6a54c,'Fixed typo in TemplateCommand argument help text.'
d065c92678f5d11a70b88e195c6357576eb3a2ef,'Fixed #28918 -- Fixed Model.refresh_from_db() for instances hidden by the default manager.'
dcdd219ee1e062dc6189f382e0298e0adf5d5ddf,'Fixed #25817 -- Made RenameField repoint to_field/to_fields references.\n\nAlso updated the autodetector to assume the RenameField operation will\nperform the required repointing.'
149061103829fb3ad74d050b4ae3cc815b2f451c,'Fixed #28908 -- Allowed ArrayField lookups on ArrayAgg annotations.'
58ec55b157b3c4cc9dc0a944804f8a719ff4e12f,"""Fixed #28117 -- Added a helpful message in loaddata when psycopg2 can't load a fixture due to NUL characters."""
9bc4d90d1a8c4d1dee54115a0995a7b6fca8635b,'Fixed #14642 -- Fixed generic inline formsets crash when using save_as_new=True.'
da82939e5a31dea21a4f4d5085dfcd449fcbed3a,'Fixed #28912 -- Made EmailMessage.message() omit an empty To header.'
b03d5002955256c4b3ed7cfae5150eb79c0eb97e,'Fixed #28971 -- Made EmailMessage.message() set Cc from headers dict if it exists.'
ae6fa914aa2f43d39ae491ac7d3140dda69702fa,'Fixed #28926 -- Fixed loss of precision of big DurationField values on SQLite and MySQL.'
aefe624c62639c189845803f0935fc29e20b5fb8,'Fixed #28841 -- Added ForcePolygonCW GIS function and deprecated ForceRHR.'
44908d4d9360f72b9511aa0a878458285ba326d4,'Fixed #28967 -- Prevented Cast to FloatField from rounding to integer on MySQL.'
f1aa58479cdc6051dd2e97feca2d584c43aee1e7,'Fixed #28714 -- Added system checks for invalid model field names in Meta.indexes.\n\nThanks Gabriel for the report and Adam Johnson for the review.'
c8152137400b5932578cd1788b79560c9772e56b,"""Fixed #28958 -- Fixed admin changelist crash when using a query expression in the page's ordering.\n\nThanks Tim Graham for the review."""
038ea4f8593618cf0f408f15f756f2145de0d40e,"""Fixed #28966 -- Doc'd that the uuid URL path converter requires dashes"""
4c599ece57fa009cf3615f09497f81bfa6a585a7,'Fixed #28930 -- Simplified code with any() and all().'
c21f158295d92e35caf96436bfdbbff554fc5569,'Fixed #28944 -- Fixed crash when chaining values()/values_list() after QuerySet.select_for_update(of=()).'
5778b5701d6a0feb3053b70891cd8ce80b6e8601,'Fixed #28731 -- Added an error message when using an empty Q() in a When expression.\n\nOtherwise it generates invalid SQL.'
6deaddcca367d0143c815aaa42342021baa3b41e,"""Fixed #28956 -- Updated admin's jQuery to 3.2.1."""
e67733aa65c727fb378c34e79272c9b12bd33762,'Fixed #28963 -- Raised minimum Sphinx version.'
23b21db31bfcf2a065d485617412cca43a311a4c,"'Fixed #28594 -- Removed Jython docs and specific code\n\nThanks Andrey Martyanov for the reporti, and Tim Graham for the review.'"
32ade4d73b50aed77efdb9dd7371c17f89061afc,"""Fixed #28878 -- Added python_requires in setup.py and a warning for older pips that don't recognize it."""
622ead6aaf55288cd355f22e8bb9c56d8e12556c,'Fixed #28937 -- Allowed BinaryField to be editable=True.'
9f7772e098439f9edea3d25ab127539fc514eeb2,"""Fixed #28884 -- Fixed crash on SQLite when renaming a field in a model referenced by a ManyToManyField.\n\nIntrospected database constraints instead of relying on _meta.related_objects\nto determine whether or not a table or a column is referenced on rename\noperations.\n\nThis has the side effect of ignoring both db_constraint=False and virtual\nfields such as GenericRelation which aren't backend by database level\nconstraints and thus shouldn't prevent the rename operations from being\nperformed in a transaction.\n\nRegression in 095c1aaa898bed40568009db836aa8434f1b983d.\n\nThanks Tim for the additional tests and edits, and Mariusz for the review."""
01384ce36c3fddfbcc5af6e1108bdb8cd3e9389d,'Fixed #28947 -- Fixed crash when coercing a translatable URL pattern to str.\n\nRegression in df41b5a05d4e00e80e73afe629072e37873e767a.'
e7b804c060a1f9fc089cf935801aa85b09db062b,'Fixed #28941 -- Fixed crash in testserver command startup.\n\nRegression in 2b09e4c88e96cb03b29f5a6b0e4838ab4271e631.'
c8a85e3e91bf829671b4a8cbd105fbabce945174,'Fixed #28932 -- Prevented Oracle from truncating trailing zeros in the fractional part of DecimalField.\n\nFixes the test added in 6fd6d8383f48ea2fe4e058725fa30529a083e9a5.\r\nRegression in 7c1f3901bcdabb1340a621e7df9b24f3acd0d6f3.'
fc9eec7bb7d5e3e6426bb612277bfcecb943e8ac,'Fixed #28934 -- Prevented Cast from truncating microseconds on Oracle.'
4420761ea9457d386b2000cf9df5b2f6f88f8f91,'Fixed #28727 -- Fixed Cast crash on SQLite when casting a Python date/datetime to Date/DateTimeField.'
770b9ea77fb5e39d616e62b54c06755e6d4f4d36,'Fixed #25277 -- Restored test dependency to the original python-memcached.'
1ef8b30abed6ecf0c28517001e7fd8a84e6e47d3,'Fixed #28929 -- Corrected QUnit examples.'
4dcd7723d59a666ab8e6dc29b0cc6eb7f2658ec1,'Fixed #28938 -- Corrected Python compatibility in the tutorial.'
6fd6d8383f48ea2fe4e058725fa30529a083e9a5,'Fixed #28915 -- Prevented SQLite from truncating trailing zeros in the fractional part of DecimalField.\n\nThis reverts commit a146b65628e702a9a3ed5be21542ca45366fbb29 and adds\na test for the regression.'
30a389bd7795016d7f48bcda997e5dea5116f9bb,'Fixed #28898 -- Corrected admin check to allow a OneToOneField in ModelAdmin.autocomplete_fields.'
da71e4bb086593b5ca76bf698358d27ead2cfed2,'Fixed #28896 -- Reallowed filtering a queryset with GeometryField=None.\n\nRegression in 58da81a5a372a69f0bac801c412b57f3cce5f188.'
7c7bc6391a3e83566f9ace59955e63503bc76cee,'Fixed #28874 -- Prevented double escaping of errors on hidden form fields.'
d13a9e44ded4e93570c6ba42ec84e45ddca2505b,'Fixed #28909 -- Simplified code using tuple/list/set/dict unpacking.'
2b81faab257832d3dbd42947a884f7ec99685d18,'Fixed #28906 -- Removed unnecessary bool() calls.'
02d9419fe34eaa4d41d8a8df93373f286a36a2ae,'Fixed #28907 -- Removed unnecessary if statements.'
c6864a01b25591d3a709da8071413b69c9e35341,"""Fixed #28791 -- Allowed commands that don't require settings to work if the DJANGO_SETTINGS_MODULE doesn't exist."""
16bd4964dfd75759cb3ec0c786e1b5dcc8296fd9,"""Fixed #28891 -- Documented Origin's loader attribute."""
2d75e74e18def5de8b23f88f4257f262f18fe1a9,'Fixed typo in docs/ref/contrib/admin/index.txt.'
9d1d0e2b702fe1a3f979a95bc4583f1a1691c74f,'Fixed import in docs/ref/models/conditional-expressions.txt example.'
a862af383969ade774f6b0fa1d331bc87b188b89,'Fixed #28893 -- Removed unnecessary dict.items() calls.'
183fb7b2b9778f7d7cc91f5a7e5afec61b85179e,'Fixed #28870 -- Added support for functools.partialmethod serialization in migrations.'
85e6a1c634fed55c43090e37b802c721d9e7eaaa,"'Fixed #28877 -- Made ordinal template filter results more localizable.\n\nMarked the whole pattern (e.g. ""{value}th"") as translatable, instead of\njust this suffix, so that languages not using suffixes for ordinals can\nuse this tag.'"
4114b441ee63e5e9196f20beee5cb071d1a21b3b,'Fixed #28886 -- Updated prefix for example django.contrib.auth.urls URLs.'
bae365e13c38f0e33b9f00453768de2aac6c727e,"""Fixed #28883 -- Doc'd that the uuid URL path converter matches lowercase only letters."""
fc48047586a8f92262f55d9d2bfb976325844b23,'Refs #28876 -- Fixed incorrect foreign key constraint name for models with quoted db_table.\n\nThanks Simon Charette and Tim Graham for the review and Carlos E. C.\nLeite for the report.'
f79d9a322c6008e5fada1453aebfb56afc316cc8,'Refs #28876 -- Fixed incorrect class-based model index name generation for models with quoted db_table.\n\nThanks Simon Charette and Tim Graham for the review and Carlos E. C.\nLeite for the report.'
e014f91a70aa3ccdddb363a733c76e35597424fa,"""Fixed #28890 -- Removed newlines between MultiWidget's subwidgets.\n\nRegression in b52c73008a9d67e9ddbb841872dc15cdd3d6ee01."""
3cc08f4b2ba6fe7931cf551676fa86a4966987e4,'Fixed typo in docs/ref/models/expressions.txt.'
87c76aa116ef49be2d6ff3ecf2fec37414638246,'Fixed #28873 -- Used dict.setdefault() to set model and form field defaults.'
d2afa5eb2308e672b6313876856e32e2561b90f3,'Fixed #28860 -- Removed unnecessary len() calls.'
bee4c2baede18d8c8c0a29cd9affb18074dafd3a,'Fixed grammer in docs/releases/2.0.txt.'
3922f02dc6b10a3268a710a2837027d3999957a3,'Fixed typo in docs/topics/testing/advanced.txt. (#9416)'
7664fe275910bb31fcca2d54844bedde19fc4ed9,'Refs #28871 -- Fixed admin_views selenium test failure.'
81057645f61fe545f4f11737dbd3040043ed2436,"'Fixed #28871 -- Fixed initialization of autocomplete widgets in ""Add another"" inlines.\n\nAlso allowed autocomplete widgets to work on AdminSites with a name other\nthan \'admin\'.'"
095c1aaa898bed40568009db836aa8434f1b983d,'Fixed #28849 -- Fixed referenced table and column rename on SQLite.\n\nThanks Ramiro for the input and Tim for the review.'
cf12257db23fa248c89a3da3f718aa01a50ca659,'Fixed #28863 -- Fixed filter on annotation that contains Q.'
c3e0adcad8d8ba94b33cabd137056166ed36dae0,"'Fixed #28305 -- Fixed ""Cannot change column \'x\': used in a foreign key constraint"" crash on MySQL with a sequence of AlterField or RenameField operations.\n\nRegression in 45ded053b1f4320284aa5dac63052f6d1baefea9.'"
03974d81220ffd237754a82c77913799dd5909a4,"""Fixed #28866 -- Made InlineAdminFormSet include InlineModelAdmin's Media before its formset's Media.\n\nThis provides better backwards compatibility following refs #28377."""
e50add6ca1605dcc06c8c5a5770342779a4d5124,'Fixed #28856 -- Fixed a regression in caching of a GenericForeignKey pointing to a MTI model.\n\nRegression in b9f8635f58ad743995cad2081b3dc395e55761e5.'
f0a68c25118786d47041d0a435b2afa953be3c86,'Fixed #28702 -- Made query lookups for CIText fields use citext.'
78c5e7b90eee10067d39a8ba6588e6b53ba00d82,'Fixed #28834 -- Followed ancestor links on field cache lookup failure.\n\nThanks Tim for the review.'
746caf3ef821dbf7588797cb2600fa81b9df9d1d,'Fixed #28837 -- Fixed test client crash if an exception with more than one arg is raised.\n\nAlso removed usage of the problematic pattern elsewhere.\n\nRegression in 6e55e1d88a5c4453e25f0caf7ffb68973de5c0ba.'
7a6fbf36b1fdb8978ea0842075ccce83bcd63789,'Fixed #28853 -- Updated connection.cursor() uses to use a context manager.'
3308085838f520db49f606b72345a301c1cf2a3e,"""Fixed #28854 -- Replaced type(True) with bool in sqlite's SchemaEditor."""
4f5526e346861c0b2ffa2ea7229747c883e14432,'Fixed #28773 -- Forced pot files to use UNIX-style newlines\n\nThanks Hendy Irawan for the analysis and report.'
616f468760e4984915bb2ccca6b9eb3d80ddadb0,'Fixed #28848 -- Fixed SQLite/MySQL crash when ordering by a filtered subquery that uses nulls_first/nulls_last.'
ad5f33ee03edd26c7947e9beab949a6a8bfdb16f,'Refs #27954 -- Fixed typo in django/db/backends/postgresql/client.py comment.'
3f237c1a5b936a9b85304cffbf3343f491e395d6,'Fixed typo in docs/topics/forms/media.txt.'
54e5c4a00e116ff4be257accdc9aa9e068c7f4ee,'Fixed #28820 -- Eliminated an extra query with QuerySet.update() on proxy models.'
d97f026a7ab5212192426e45121f7a52751a2044,'Fixed #28817 -- Made QuerySet.iterator() use server-side cursors after values() and values_list().'
e3c852cbd609484b272f563f3c21066fb12ef7f8,"'Fixed #28804 -- Fixed ""Unknown system variable \'transaction_isolation\'"" on MariaDB.\n\nRegression in 967450a3bf940c43db891fe1e2ef3bcf73456ff8.'"
244cc401559e924355cf943b6b8e66ccf2f6da3a,'Fixed #26184 -- Allowed using any lookups in ModelAdmin.search_fields.\n\nThanks Krzysztof Nazarewski for the initial patch.'
3af305e8b8a89f4b0e5874cd601568ab8dcd7334,"""Fixed #28810 -- Replaced '%' style logging formatting with str.format() style."""
bf49d9eb0b33aefc7179d3843fad0cb7df4e7790,'Fixed #28815 -- Fixed ExtractYear imports in docs/ref/models/expressions.txt.'
9d1d3b2d2fe0bef995b024368088eeabbdf73629,'Refs #28814 -- Fixed test_runner failure on Python 3.7.\n\nDue to https://bugs.python.org/issue30399.'
931c60c5216bd71bc11f489e00e063331cf21f40,"'Refs #28814 -- Fixed ""SyntaxError: Generator expression must be parenthesized"" on Python 3.7.\n\nDue to https://bugs.python.org/issue32012.'"
648957b707491b99dc32a3cdbeaaa3fe9f3164cf,"'Fixed #28798 -- Removed unused django.utils.dates.WEEKDAYS_REV, MONTHS_3_REV.'"
d392fc293c9439c19451e152f9560f24d1659563,'Fixed #28802 -- Fixed typo in docs/topics/auth/default.txt.'
6bf85ff7e3b837378589e449ba27be8971d9b14c,"""Fixed #28796 -- Doc'd backwards incompatibility when reverse() receives bytestring args/kwargs.\n\nDue to 301de774c21d055e9e5a7073e5bffdb52bc71079."""
9bea555d06e0e585645053ae6ca9ac3dc8b899bd,'Fixed test failures due to ordering differences on PostgreSQL 10.'
ee85ef8315db839e5723dea19d8b971420a2ebb4,"'Fixed #28792 -- Fixed index name truncation of namespaced tables.\n\nRefs #27458, #27843.\n\nThanks Tim and Mariusz for the review.'"
532a4f22ad94db320cb0fd66f4c7ee57d17ac65a,'Fixed invalid escape sequence warning in check_framework test.'
967450a3bf940c43db891fe1e2ef3bcf73456ff8,'Fixed #28794 -- Fixed tx_isolation deprecation warning on MySQL 5.7.20+.'
bc95314ca6af0b5e993ae07fdc7d8e6166d3b8ca,"""Fixed #28786 -- Doc'd middleware ordering considerations due to CommonMiddleware setting Content-Length."""
23bf4ad87f86f44a5ecf9aea722ced76fe7b7fdf,"""Fixed #28795 -- Removed 'not in' checks and used dict.setdefault()."""
2d3cc94284674638c334670903d49565039d77ae,"'Fixed #28781 -- Added QuerySet.values()/values_list() support for union(), difference(), and intersection().\n\nThanks Tim Graham for the review.'"
1907fc9b1292a55f1b8d54f4dbcdbda16bbb36c1,'Fixed #28534 -- Made JSONField.has_changed() ignore key order and consider True/1 values as different.'
abaf0ab4a444977dc8ac07b9b63256814c352245,"""Fixed #28777 -- Clarified the docs for admin.register's args."""
ee49306176a2d2f1751cb890bd607d42c7c09196,"'Fixed #27710 -- Made Model.save() invalidate cached, stale relations after a primary key assignment.'"
ebb998976e2889c669972ed3d1b372cc6a2b5229,'Fixed #28751 -- Corrected the error message for inactive users in AdminAuthenticationForm.\n\nThanks SeungWon Kang for the report and Tim Graham for the review.'
359370a8b8ca0efe99b1d4630b291ec060b69225,'Fixed #28645 -- Reallowed AuthenticationForm to raise the inactive user error when using ModelBackend.\n\nRegression in e0a3d937309a82b8beea8f41b17d8b6298da2a86.\n\nThanks Guilherme Junqueira for the report and Tim Graham for the review.'
0cf00769ad11fa5ff0dff585d7f491a80f3e45ef,"""Fixed #28585 -- Calculated admin's change form multipart context variable from forms and formsets\n\nThanks Tim Graham for the review."""
ac6a4eb9f95138628a7eec76bee91eb067af80a9,"""Fixed #28719 -- Added a helpful exception if MultipleObjectTemplateResponseMixin doesn't generate any template names."""
a2851f204c6431330042d0343ee99f33449f78e0,'Fixed #28720 -- Added HttpRequest.get_full_path_info().'
3e7497a05e7f7cf0ff157d88cef18e95e3cff57b,'Fixed #28758 -- Fixed RangeMax/MinValueValidators crash with unbound ranges.'
1b7780ea0802116eeef80b398a0432ac3f0ba9ef,'Fixed #28544 -- Made unlocalize template filter behave like {% localize off %} tag\n\nThanks Beda Kosata for the report and Tim Graham for the review.'
327f0f37ce3c1e5ac3a19668add237ddd92266d6,'Fixed #28770 -- Warned that quoting a placeholder in a raw SQL string is unsafe.\n\nThanks Hynek Cernoch for the report and review.'
998c9dd599cd907bb38f440fff13a808571589f8,'Fixed #28663 -- Add a check for likely incorrectly migrated django.urls.path() routes.'
